corp_code,corp_name,stock_code,modify_date
259606,플러스프로핏,36660,20170630
178471,한와이어리스,37020,20170630
331733,포휴먼,49690,20170630
104892,알이네트웍스,23670,20170630
647917,케이알제2호개발전문위탁관리부동산투자회사,101790,20170630
597764,미래에셋맵스오퍼튜니티베트남주식혼합형투자회사1호,94520,20170630
355821,씨티엘테크,88960,20170630
329677,이디디컴퍼니,52650,20170630
244871,케이티프리텔,32390,20170630
246383,메카포럼,35830,20170630
345499,에스피코프,48130,20170630
348140,이롬텍,45400,20170630
215107,이앤텍,47450,20170630
106508,기린,6070,20170630
560991,맥스브로,88810,20170630
265263,토자이홀딩스,37700,20170630
142564,우방,13200,20170630
198572,동양매직,23020,20170630
642648,코웰이홀딩스유한공사,900020,20170630
537443,아구스,78670,20170630
113173,대한은박지,7480,20170630
441872,인스프리트,73130,20170630
480844,하이럭스,79340,20170630
262044,트리니티,53070,20170630
101442,카라반케이디이,32570,20170630
295875,더존디지털웨어,45380,20170630
441298,디보스,80140,20170630
263885,포네이처,45290,20170630
475532,테이크시스템즈,76090,20170630
130204,폴켐,33190,20170630
128731,유리이에스,7050,20170630
325981,에프아이투어,47370,20170630
540021,모빌탑,85680,20170630
362089,올리브나인,52970,20170630
228916,디패션,30420,20170630
114215,알덱스,25970,20170630
264103,에이엠에스,44770,20170630
109648,오라바이오틱스,16160,20170630
261212,시노펙스그린테크,37320,20170630
348007,야호커뮤니케이션,59720,20170630
275808,브이케이,48760,20170630
375579,팬택앤큐리텔,63350,20170630
197324,팬텀엔터테인먼트그룹,25460,20170630
339063,삼성수산,52560,20170630
538497,동북아15호선박투자회사,84240,20170630
329084,비엔디,47940,20170630
225140,쌈지,33260,20170630
101947,브이오산업,18890,20170630
287724,코디콤,41800,20170630
347840,제네시스엔알디,52640,20170630
504357,동북아6호선박투자회사,80410,20170630
269339,인네트,41450,20170630
634959,한국월드와이드아시아태평양특별자산1호투자회사,98150,20170630
267094,헤파호프코리아,39350,20170630
142698,휴리프,6210,20170630
350057,하이스마텍,57100,20170630
721981,삼성디지털이미징,108070,20170630
248691,씨제이인터넷,37150,20170630
335562,엠넷미디어,56200,20170630
369675,온미디어,45710,20170630
265078,유니텍전자,39040,20170630
267809,위더스기술금융,19430,20170630
314000,클라스타,37550,20170630
355292,아시아미디어홀딩스,52810,20170630
386557,아이스테이션,56010,20170630
548865,동북아21호선박투자회사,88010,20170630
221320,에이스디지텍,36550,20170630
124054,부산저축은행,7830,20170630
301486,에피밸리,68630,20170630
149248,아세아페이퍼텍,9380,20170630
311298,오페스,53470,20170630
348557,액티투오,47710,20170630
265342,에이치에스씨홀딩스,38920,20170630
156734,한국고덴시,27840,20170630
208693,나리지*온,36850,20170630
128953,프로비타,14420,20170630
428792,제로원인터랙티브,69470,20170630
148744,제일화재해상보험,610,20170630
518873,동북아9호선박투자회사,83120,20170630
300779,굿이엠지,51530,20170630
397766,아이드림,66850,20170630
174305,조인에너지,4820,20170630
320807,태광이엔시,48140,20170630
106492,렉스엘이앤지,4790,20170630
592583,코리아퍼시픽05호선박투자회사,93400,20170630
275260,엑큐리스,48460,20170630
183914,우경,25920,20170630
481676,세미텍,81220,20170630
104971,그린손해보험,470,20170630
269773,대양글로벌,40180,20170630
334767,엔하이테크,46720,20170630
453752,제너시스템즈,73930,20170630
140919,엘트온,15050,20170630
255840,태산엘시디,36210,20170630
133034,성원건설,12090,20170630
161028,대우송도개발,4550,20170630
174475,현대금속,18410,20170630
251482,트라이써클,34010,20170630
824659,아이비케이에스스마트에스엠이기업인수목적1호,126680,20170630
259536,네스테크,37540,20170630
505198,동북아5호선박투자회사,80980,20170630
679730,파브코,101990,20170630
803504,우리기업인수목적1호,122750,20170630
350118,뉴젠아이씨티,54150,20170630
352295,인젠,41630,20170630
240088,지앤에스티,36920,20170630
356158,영진코퍼레이션,53330,20170630
560025,코크렙제8호위탁관리부동산투자회사,90540,20170630
140380,유니온스틸,3640,20170630
101275,경남모직,1670,20170630
334493,씨티앤티,50470,20170630
797674,대우증권그린코리아기업인수목적회사,121910,20170630
244589,지노시스템,33850,20170630
802028,한국투자신성장1호기업인수목적회사,123290,20170630
164292,동원데어리푸드,3900,20170630
371519,휴먼텍코리아,66060,20170630
126593,에스에스씨피,71660,20170630
220181,평산,89480,20170630
254009,지디코프,36610,20170630
505541,아시아퍼시픽2호선박투자회사,81190,20170630
240398,무한투자,34510,20170630
828309,동부티에스블랙펄기업인수목적,128910,20170630
349468,블루젬디앤씨,53040,20170630
808262,부국퓨쳐스타즈기업인수목적,123300,20170630
252393,예당컴퍼니,49000,20170630
229818,터보테크,32420,20170630
154189,케이비물산,8540,20170630
680161,연합과기공고유한공사,900030,20170630
102645,글로스텍,12410,20170630
844884,중국고섬공고유한공사,950070,20170630
592592,코리아퍼시픽06호선박투자회사,93410,20170630
268437,나노트로닉스,10670,20170630
798284,미래에셋제1호기업인수목적,121950,20170630
164195,에이원마이크로,37380,20170630
264811,에이프로테크놀로지,45470,20170630
208301,성우몰드,53440,20170630
676380,모린스,110310,20170630
543231,디지텍시스템스,91690,20170630
103121,세븐코스프,17160,20170630
122436,배명금속,11800,20170630
505189,동북아4호선박투자회사,80970,20170630
271413,사라콤,40020,20170630
245296,폴리플러스,65610,20170630
188122,하나물산,36280,20170630
480905,영찬테크,85990,20170630
890333,케이비부국제1호개발전문위탁관리부동산투자회사,149130,20170630
510534,아시아퍼시픽8호선박투자회사,81930,20170630
150855,진흥저축은행,7200,20170630
173634,에듀언스,9010,20170630
830377,성융광전투자유한공사,900150,20170630
224567,샤인시스템,66300,20170630
582054,씨모텍,81090,20170630
125929,에스컴,14900,20170630
502793,아시아퍼시픽1호선박투자회사,80180,20170630
505550,아시아퍼시픽3호선박투자회사,81200,20170630
104704,한국저축은행,25610,20170630
361035,미리넷,56710,20170630
630111,3노드디지탈그룹유한공사,900010,20170630
264802,유일엔시스,38720,20170630
399773,케이피케미칼,64420,20170630
257529,이루넷,41030,20170630
804114,대신증권그로쓰알파기업인수목적,123550,20170630
416706,유에이블,71530,20170630
121251,네오퍼플,28090,20170630
173324,경윤하이드로에너지,19120,20170630
121729,롯데미도파,4010,20170630
808226,한화에스브이명장제1호기업인수목적,124050,20170630
162577,셀텍,19260,20170630
812229,에스비아이앤솔로몬드림기업인수목적,123910,20170630
351153,위다스,56810,20170630
126885,에스와이코퍼레이션,8080,20170630
264741,어울림네트웍스,42820,20170630
266989,에이디모터스,38120,20170630
260693,평안물산,37240,20170630
267951,아큐텍,13780,20170630
132114,선진지주,14300,20170630
804983,히든챔피언제1호기업인수목적,123160,20170630
502474,동북아2호선박투자회사,80030,20170630
579379,금강제강,105070,20170630
264857,아라온테크,41060,20170630
375302,우리금융지주,53000,20170630
252658,코리언일랙트로닉스파워소스,46810,20170630
264848,대국,42340,20170630
138376,쎄라텍,41550,20170630
251190,글로웍스,34600,20170630
694003,중국식품포장유한공사,900060,20170630
505170,동북아3호선박투자회사,80960,20170630
259439,지아이바이오,35450,20170630
207436,알에스넷,46430,20170630
408585,나이스메탈,72530,20170630
111829,대웅바이오,16890,20170630
956028,엑세스바이오,950130,20170630
115038,하나IB증권,3330,20170630
288653,퓨쳐비젼,42570,20170630
303837,이레전자산업,45310,20170630
330017,레이더스컴퍼니,47420,20170630
264769,포이보스,38810,20170630
308948,미디어코프,53890,20170630
321222,케이디세코,73780,20170630
361202,이노블루,66200,20170630
450728,도움,78610,20170630
535773,엑스씨이,81500,20170630
152950,코오롱유화,11020,20170630
296069,세라온홀딩스,50600,20170630
521956,현대경매부동산일호투자회사,83160,20170630
360540,우수씨엔에스,60550,20170630
593519,동북아31호선박투자회사,93730,20170630
194372,후야인포넷,32050,20170630
154693,이레아이엔씨,36900,20170630
106650,카스코,5330,20170630
368791,모델라인,64720,20170630
220552,청람디지탈,35270,20170630
301626,플래닛팔이,57330,20170630
294371,한텔,41940,20170630
353683,코스모스피엘씨,53170,20170630
252375,나노하이텍,71360,20170630
260903,쓰리소프트,36360,20170630
261461,트라이콤,38410,20170630
265218,케이엔에스홀딩스,36760,20170630
471989,지비에스,76170,20170630
306986,피더블유제네틱스,65910,20170630
356644,엠텍반도체,54440,20170630
305695,세니콘,56060,20170630
151252,에스와이,4530,20170630
257051,유씨아이콜스,65810,20170630
459589,코크렙제3호CR리츠,73530,20170630
264839,아이비진,39060,20170630
366164,아이티센네트웍스,57110,20170630
436728,리얼티코리아제1호기업구조조정부동산투자,72450,20170630
136235,BHK,3990,20170630
328854,포넷,48270,20170630
120960,맥슨텔레콤,9890,20170630
220446,예일바이오텍,54250,20170630
119733,엔토리노,32590,20170630
119423,두림티앤씨,33330,20170630
557067,동북아27호선박투자회사,89170,20170630
557058,동북아28호선박투자회사,89180,20170630
557030,동북아30호선박투자회사,89200,20170630
557049,동북아29호선박투자회사,89190,20170630
244330,현주컴퓨터,38960,20170630
120100,LG석유화학,12990,20170630
246657,오브제,58680,20170630
130037,휴닉스,9790,20170630
405074,세이프아시아,66330,20170630
398534,코크렙제1호기업구조조정부동산투자회사,67910,20170630
234449,제이엠피,54790,20170630
165200,위너스인프라인,5760,20170630
150183,AP우주통신,15670,20170630
268482,조이토토,44370,20170630
363033,한도하이테크,60660,20170630
364227,에너윈,55970,20170630
458915,유레스메리츠제1호,73470,20170630
386876,교보메리츠퍼스트기업구조조정부동산투자회사,64900,20170630
163044,한일약품공업,3040,20170630
543073,굿앤리치부동산공경매투자회사1호,85450,20170630
160445,한국합섬,25830,20170630
554468,굿앤리치부동산공경매투자회사2호,88510,20170630
165565,디에스피이엔티,16040,20170630
300256,시큐어소프트,37060,20170630
138491,동부일렉트로닉스,1830,20170630
102821,고려시멘트,3660,20170630
377814,베스트플로우,60410,20170630
364670,쿨투,56020,20170630
143013,우영,12460,20170630
263991,모빌링크텔레콤,41310,20170630
105183,극동제혁,10200,20170630
173254,한마음상호저축은행,25450,20170630
101637,그로웰전자,9220,20170630
124513,부흥,3930,20170630
139418,알루코,21570,20170630
154417,퍼시픽글라스,9080,20170630
119362,아이인프라,8780,20170630
140353,씨크롭,16970,20170630
170451,외환신용카드,38400,20170630
267793,삼화기연,33210,20170630
260639,대흥멀티미디어통신,37250,20170630
153852,텔슨정보통신,18180,20170630
248956,비이티,36820,20170630
390028,코오롱인터내셔널,63510,20170630
260888,엔써커뮤니티,37750,20170630
275710,써미트테크놀로지,39000,20170630
172103,코리아이앤디,27440,20170630
263955,트래픽아이티에스,38050,20170630
261601,호성,35870,20170630
265254,넥스텔,37220,20170630
255266,쓰리알,37730,20170630
259916,그로웰텔레콤,35780,20170630
131434,서통,1150,20170630
271352,테크메이트,43690,20170630
244932,한아시스템,36020,20170630
348052,엔에스아이,53250,20170630
367598,케이티씨텔레콤,55810,20170630
267720,신한SIT,54530,20170630
147949,스마텔,4190,20170630
203458,동방라이텍,25690,20170630
130000,아이텍스필,8030,20170630
145534,이수세라믹,32180,20170630
425360,코크렙제2호기업구조조정부동산투자회사,70540,20170630
141334,영풍산업,2850,20170630
384452,모닷텔,48150,20170630
103583,광덕물산,3590,20170630
162142,동원증권,5890,20170630
236021,우주통신,54080,20170630
106483,기라정보통신,19930,20170630
208374,텔슨전자,27350,20170630
309983,하이콤정보통신,48540,20170630
277727,미래에셋굿라이프혼합형자녀를위한펀드5-1,37500,20170630
136217,한메엔에스,6150,20170630
229827,이지클럽,38980,20170630
247902,넷컴스토리지,37010,20170630
318477,모디아,46000,20170630
246815,성진산업,37650,20170630
260921,아이엠아이티,38100,20170630
247762,맥시스템,36880,20170630
350224,슈마일렉트론,56500,20170630
101992,센추리,6750,20170630
151614,베네데스하이텍,9360,20170630
179832,에스오케이,32610,20170630
241120,세원텔레콤,36910,20170630
277985,한강구조조정기금,36060,20170630
325918,케이엔티,36590,20170630
110981,대아리드선,9940,20170630
116499,동신제약,6600,20170630
104467,국민은행,31150,20170630
257361,월드텔레콤,47610,20170630
358730,업필,54370,20170630
248406,화림모드,45920,20170630
348788,디이시스,53200,20170630
110963,대아건설,380,20170630
149840,중앙제지,5600,20170630
267021,창민테크,42960,20170630
330406,씨제이엔터테인먼트,49370,20170630
110079,대백쇼핑,27700,20170630
141440,지니웍스,36600,20170630
135670,신광기업,1580,20170630
144933,유진종합개발,23420,20170630
371139,휘튼,66480,20170630
218654,엠바이엔,31970,20170630
115852,두산건설,2950,20170630
113696,대호,1980,20170630
253514,한신코퍼레이션,37120,20170630
105509,금강화섬,10730,20170630
163178,우리증권,1280,20170630
264185,피코소프트,39580,20170630
265157,바이오시스,35960,20170630
270405,윌텍정보통신,39390,20170630
125406,삼도물산,2930,20170630
258731,현대멀티캡,35910,20170630
822572,씨아이에스,144630,20170630
423609,LG생명과학,68870,20170630
580603,코리아퍼시픽01호선박투자회사,90970,20170630
580612,코리아퍼시픽02호선박투자회사,90980,20170630
317830,신양오라컴디스플레이,86830,20170630
311030,미래에셋증권,37620,20170630
439053,이룸지엔지,50640,20170630
992312,에스와이이노베이션,194860,20170630
580621,코리아퍼시픽03호선박투자회사,90990,20170630
580630,코리아퍼시픽04호선박투자회사,91000,20170630
262123,유아이에너지,50050,20170630
533696,아시아퍼시픽14호선박투자회사,83610,20170630
140362,제이에스전선,5560,20170630
533757,아시아퍼시픽13호선박투자회사,83600,20170630
533580,아시아퍼시픽10호선박투자회사,83570,20170630
1041217,현대에이블기업인수목적1호,204760,20170630
533793,아시아퍼시픽11호선박투자회사,83580,20170630
533836,아시아퍼시픽12호선박투자회사,83590,20170630
144766,호반산업,4320,20170630
525527,실리콘화일,82930,20170630
372989,비엔씨컴퍼니,58370,20170630
529523,동북아11호선박투자회사,83360,20170630
526474,동북아14호선박투자회사,83390,20170630
302801,디아이디,74130,20170630
124018,부산방직공업,25270,20170630
255071,현대에이치씨엔동작방송,34750,20170630
364926,플렉스컴,65270,20170630
350491,웹솔루스,160350,20170630
450214,마이스코,88700,20170630
1022054,솔트웍스,222520,20170630
164955,현대페인트,11720,20170630
790501,한진해운,117930,20170630
272412,글라소울,45050,20170630
207542,팬택자산관리,25930,20170630
394778,케이엔씨글로벌,68150,20170630
446460,아이디에스,78780,20170630
188946,훈영,17170,20170630
137702,한솔아트원제지,7190,20170630
418476,엠제이비,74150,20170630
587101,바다로3호선박투자회사,92630,20170630
351047,아이팩토리,53810,20170630
778040,거북선5호선박투자회사,114130,20170630
778059,거북선6호선박투자회사,114140,20170630
126229,삼성물산,830,20170630
496003,피엘에이,82390,20170630
359030,닉스테크,63840,20170630
510914,아시아퍼시픽9호선박투자회사,81940,20170630
697329,거북선4호선박투자회사,108890,20170630
149664,중앙건설,15110,20170630
318839,미래에셋새천년코리아벤처펀드일호,42950,20170630
130897,하나은행,2860,20170630
183260,에이스하이텍,71930,20170630
246347,태창파로스,39850,20170630
599230,평산차업집단유한공사,950010,20170630
970277,스탠다드펌,179280,20170630
122922,벽산건설,2530,20170630
116860,NH농협증권,16420,20170630
505569,아시아퍼시픽4호선박투자회사,81210,20170630
160612,한화화인케미칼,25850,20170630
659435,정다운,224090,20170630
232317,지오엠씨,33030,20170630
130860,에듀패스,31950,20170630
113632,아이디에이치,26230,20170630
837680,거북선7호선박투자회사,134000,20170630
130815,서울상호저축은행,16560,20170630
248123,와이즈파워,40670,20170630
788807,코크렙제15호기업구조조정부동산투자회사,121550,20170630
270432,티브로드한빛방송,43890,20170630
648697,거북선3호선박투자회사,102000,20170630
165529,동성하이켐,13450,20170630
419989,클루넷,67130,20170630
637114,코리아퍼시픽07호선박투자회사,99210,20170630
361114,씨유전자,56340,20170630
125628,삼목강업,158380,20170630
265227,에스비엠,37630,20170630
267669,솔빛미디어,44440,20170630
693800,에프지엔개발전문자기관리부동산투자회사,119250,20170630
991012,판타지오,187770,20170630
164469,현대하이스코,10520,20170630
586652,거북선1호선박투자회사,92970,20170630
132105,삼양제넥스,3940,20170630
345657,코아에스앤아이,52350,20170630
810531,자원메디칼,181980,20170630
127370,삼우이엠씨,26250,20170630
261124,어울림정보기술,38320,20170630
244729,티브로드도봉강북방송,35210,20170630
138127,티이씨앤코,8900,20170630
156521,화인자산관리,10460,20170630
446831,세실,84450,20170630
127024,삼양엔텍,8720,20170630
120377,로케트전기,420,20170630
136970,신일건업,14350,20170630
148328,제일모직,1300,20170630
842479,퓨얼셀파워,139170,20170630
907660,아루히,950100,20170630
351269,지티앤티,53870,20170630
350251,모아에스앤에스,52880,20170630
206127,어울림엘시스,33280,20170630
846396,이코리아자기관리부동산투자회사,138440,20170630
144155,SK,3600,20170630
678281,에이치앤아이,103650,20170630
314888,디에스,51710,20170630
653990,유니드코리아,110500,20170630
451116,아이레보,72430,20170630
159926,포스코티엠씨,10150,20170630
648688,거북선2호선박투자회사,101380,20170630
512550,아시아퍼시픽5호선박투자회사,82240,20170630
512532,아시아퍼시픽7호선박투자회사,82260,20170630
512541,아시아퍼시픽6호선박투자회사,82250,20170630
907013,한국ANKOR유전,152550,20170630
1047929,에스케이제1호기업인수목적,207930,20171106
1064315,대우기업인수목적3호,215580,20171226
1047567,엔에이치에스엘기업인수목적,207720,20171016
1043871,케이티비기업인수목적1호,204650,20170707
1065536,미래에셋제3호기업인수목적,215750,20180104
636045,넥솔론,110570,20170918
632331,디피앤케이,189700,20171220
974459,비앤에스미디어,156170,20170918
461690,세화피앤씨,85980,20170919
1111057,에스지에이시스템즈,232290,20171222
653112,미래자원엠엘,233190,20171228
823687,웨이포트유한공사,900130,20170725
318538,아스팩오일,232360,20170725
855145,하이골드오션2호선박투자회사,139200,20171127
1046179,골든브릿지제2호기업인수목적,206660,20171020
110495,대성합동지주,5620,20170825
722500,중국원양자원유한공사,900050,20170927
1018167,캐로스,260490,20171129
533678,아시아퍼시픽15호선박투자회사,83620,20170731
1047716,하나머스트3호기업인수목적,208870,20170731
686147,신성에프에이,104120,20171207
686068,신성이엔지,104110,20171208
783246,글로벌에스엠,900070,20170703
800084,씨케이에이치,900120,20170703
163619,한진피앤씨,61460,20170929
967778,나이코,192240,20170630
1038161,대우기업인수목적2호,204440,20170630
267960,에스에스컴텍,36500,20170630
529310,동북아10호선박투자회사,83350,20170630
1080410,골든브릿지제3호기업인수목적,219580,20180207
413824,제이앤유글로벌,86200,20180508
1090301,케이비제8호기업인수목적,222390,20180313
626710,베트남개발1,96300,20180313
1010572,패션플랫폼,256090,20180213
1075047,키움제3호기업인수목적,218710,20180214
1089828,유진기업인수목적3호,221200,20180417
1087079,한화에이스기업인수목적2호,219860,20180302
1072660,엔에이치기업인수목적7호,217810,20180119
1091391,교보5호기업인수목적,223040,20180330
1089961,케이비드림투게더제3호기업인수목적,221950,20180330
1089387,유안타제2호기업인수목적,219960,20180223
1111765,에스엠로보틱스,252940,20180425
1115257,시냅스엠,246830,20180514
408336,인산가,62580,20180911
1109186,동부제4호기업인수목적,230490,20180726
1095892,태경피엔에스,235090,20180801
130949,카카오엠,16170,20180918
202778,썬코어,51170,20180820
1090921,케이엠제약,237720,20180928
1102800,키움제4호기업인수목적,226850,20180605
148717,도레이케미칼,8000,20180810
959265,디와이엘엔제이,207230,20180514
447478,엔에스브이,95300,20180524
163789,심팩메탈,90730,20180717
838421,씨제이이앤엠,130960,20180718
1094565,이베스트기업인수목적3호,225440,20180528
842327,완리인터내셔널홀딩스,900180,20180528
156044,하림홀딩스,24660,20180716
109170,대덕GDS,4130,20181219
207223,위너지스,26260,20181012
454265,스틸플라워,87220,20190213
1170962,GRT,900290,20181122
348177,트레이스,52290,20181011
1111020,케이비제9호기업인수목적,232270,20181012
1117103,하이에이아이1호기업인수목적,235010,20181012
264644,넥스콘테크놀러지,38990,20190227
334244,덴소코리아,47060,20181113
535719,프렉코,82220,20190226
790121,차이나하오란리사이클링유한공사,900090,20190102
960641,한국패러랠,168490,20190116
569992,원익테라세미콘,123100,20190220
1328639,윙입푸드,900340,20181130
925453,나무기술,167380,20181211
263140,루트원플러스,46400,20190128
1130937,한국제4호기업인수목적,240540,20190129
232496,씨그널엔터테인먼트그룹,99830,20190111
1088458,극동자동화,272420,20190212
108047,세원화성,7910,20190226
600013,맵스리얼티1,94800,20190405
609254,세왕,111610,20190329
1117495,에스와이제이,251540,20190402
835734,피엠디아카데미,144740,20190523
1119217,본느,242420,20190521
865382,트러스와이제7호위탁관리부동산투자회사,140890,20190507
149877,중앙바이오텍,15170,20190510
123514,보진재,30950,20190514
1139266,로스웰,900260,20190312
1168143,골든센츄리,900280,20190703
1018954,제이에스피브이,250300,20191210
921475,자비스,230400,20191115
1199985,미래에셋대우기업인수목적1호,265480,20200103
619020,세종머티리얼즈,135270,20191002
1179839,신한제3호기업인수목적,257730,20191001
1095397,줌인터넷,229480,20190610
1051339,한국비엔씨,226610,20191203
1113277,인프라웨어테크놀러지,247300,20191206
1197428,한화에이스기업인수목적3호,264290,20191206
252755,씨앤케이인터내셔널,39530,20190718
1181940,아이엘사이언스,122050,20191227
580180,포인트엔지니어링,176560,20190716
473400,한컴지엠디,77280,20200116
100717,아이이,23430,20191120
503899,사조해표,79660,20190626
133317,에스티씨라이프,26220,20190906
1201581,한화수성기업인수목적,265920,20200115
200956,현대정보기술,26180,20190717
1111570,에스케이제3호기업인수목적,232330,20190830
1113781,영현무역,242850,20190827
1212383,엔케이맥스,262760,20190704
1194759,대신밸런스제4호기업인수목적,262830,20191010
872850,비지스틸,179440,20200207
527880,썬테크놀로지스,122800,20200212
117638,동양텔레콤,7150,20200226
99999999,금감원(테스트),999980,20200129
1063963,유쎌,252370,20200227
656340,소프트캠프,210610,20200227
1194892,알로이스,271400,20200227
222806,에임하이글로벌,43580,20200228
1234525,한국제5호기업인수목적,271740,20200303
389679,해피드림,65180,20200228
526465,동북아13호선박투자회사,83380,20200504
324104,디케이씨,47440,20200228
410678,다린,204690,20200228
291152,디비엘,41500,20200508
595243,엔스퍼트,98400,20200304
930321,하이골드오션8호국제선박투자회사,159650,20200427
307037,더스텔라,65310,20200408
695464,차이나그레이트스타인터내셔널리미티드,900040,20200522
1245062,코오롱티슈진,950160,20200325
123152,보루네오가구,4740,20200228
1086812,케미메디,205290,20200526
961136,씨티네트웍스,189540,20200512
893923,이푸른,185280,20200228
938688,SBI핀테크솔루션즈,950110,20200401
530796,미성포리테크,94700,20200228
343127,자유투어,46840,20200228
671437,파인넥스,123260,20200410
159564,한국주강,25890,20201130
362858,예스24,53280,20201130
1276026,지놈앤컴퍼니,314130,20210216
878915,DGB금융지주,139130,20201118
140858,영신금속,7530,20201126
133751,세명전기,17510,20201130
109268,대동스틸,48470,20201130
412348,엘비세미콘,61970,20201130
238001,블루콤,33560,20201117
353878,다스코,58730,20201203
149239,조일알미늄,18470,20201207
107677,비비안,2070,20201208
447928,네오티스,85910,20201208
127158,씨아이테크,4920,20201208
109824,대림통상,6570,20201208
258801,카카오,35720,20201204
295857,코다코,46070,20201204
638487,파수,150900,20201210
147772,정원엔시스,45510,20201210
101752,케이씨피드,25880,20201210
405320,웹젠,69080,20210215
664048,우리넷,115440,20210217
